名字,邮件地址,电话
成都高新区正通特种材料厂,web@cd-zheng-tong.com,028 85750861
成都东蓝星科技发展有限公司,toyou@sccin.com,028 84301258
成都俊马密封制品有限公司,succoo@163.com,028 83985161
成都市升隆建材有限公司,wq_xsl@163.com,028 89905086
成都市广蜀不锈钢有限公司,,028 66646657
成都正上不锈钢有限公司,support@cfchina.cn,028 83151008
成都拓利化工实业有限公司,sale@ta-ly.com,028 88430417
成都川大汉龙科技有限责任公司,scuhl@hotmail.com,028 85408005
四川鑫蜀创科技发展有限公司,tcl198325tcl@126.com,028 85153016
成都建中香料香精有限公司,moli1971@yahoo.com,028 82590566
成都东方企业公司,name@163.com,028 87986129
成都能高共建新型环保建材有限公司,cnfair@163.com,028 86157711
四川金威利科技有限公司,qifeng818@126.com,0833 3308777
成都恒通表面处理助剂厂,bjws@vip.163.com,028 83048234
成都苏迪奈儿贸易有限公司,cqlw18@163.com,028 83384945?
成都中瑞威普科技有限公司,wangfeizhou@yahoo.cn,0086 28 67518938 0086 28 67518940
成都市武侯区春天服饰经营部,,028 86653485
成都创世实业有限公司,aei@p-ol.com,028 83330109 028 83330102
成都太湖纺织品有限公司,Services@jobs.cn,028 83352533
新都区皎皎兔制衣厂,scwq@jicha.com.cn,028 83367118
成都樱花丝绸服装有限公司,webmaster@yh-silk.com ,028 87673256
成都市成林服装有限公司,66550114@163.com,028 87485319
成都爱瑞曼服饰设计剪裁工作室,nikdj@sina.com ,028 87332919
成都双线服饰有限公司,f1818@sina.com,028 66576024
成都旭日体育用品有限责任公司,362536735@qq.com,028 81557988 028 61209595
成都富先制衣有限公司,66550114@163.com ,028 83289952 028 83288291
四川迈高运动休闲有限公司,info@cnfashion.net ,028 66294541
成都乔迪梦斯服饰有限公司?,CDQDMS@126.COM ,028 87513883
都市玉双路10号,ccyb8364725@163.com,
四川澳申热能设备有限公司,oc86918452@163.com,028 86918452 028 86910742?
四川旭威流体自控工程有限公司,co000@000.com,028 85238579/66096615/66096625 028 85236917
四川辉煌测控设备有限公司?,web@metermart.com,028 85769865
成都欧力控制技术研究所有限公司,ythl3210@126.com,028 66349569 028 66349569
成都三联天全化工有限公司,yfsyq@yfsyq.com,"028 66116359,66116358, 028 83355023"
四川永通机械设备有限公司,kf@yonton.com,028 83290812;02866386880 028 83290812
成都牧甫生物科技有限公司,food800@126.com,028 87838390/87829507 028 87838322?
成都市星辰磷酸盐厂,ythl3210@126.com,028 83003939/13438186439 028 83871395/83750506?
雅安圣岗科隆农业发展有限公司,food800@126.com,028 66619718/87321304 028 87321304?
成都市武侯区甘露河植物蛋白食品加工厂,,028 89554269 028 87053431
四川好粮新方便食品有限公司,cdztzs@cdztzs.com,0813 2606968 0813 2600168
成都市武侯区东方之珠酒类直销部,,028 68523282 028 87429060
四川原池酒业有限责任公司?,info@tjkx.com,028 88299299 028 88282879 
四川利好科技有限责任公司,info@zzb.com.cn,028 85137023;85134151 028 85511390
四川好棒食品有限公司,,028 87530015 028 87533195?
四川华福酒业有限公司?,tyjzk@tyjzk.com,028 89066867 028 89066867?
成都仕杰实业发展有限公司,ythl3210@126.com,028 85732375/88998679/13438156973 028 85732375
四川九州鸿运酒业有限公司,wq_xsl@163.com,028 68989898/68988888 028 68989898
成都市新繁和森木业有限公司,,028 83080467 028 83080467
成都禾宇商贸有限公司,cdhybh2008@126.com,028 82009199 028 84391076
新都区柏旭福鑫家具配件厂 ,,?028 83071523
成都市金牛区美卡烧烤用具经营部,,?028 88054376 028 83377138?
任永革(个体经营),renyongge@yahoo.com.cn,028 83384111 028 83335911
四川铸诚百文商贸有限公司,sd-hr@163.com,028 83327666 028 83353358
成都市新都区豪度家具厂,info@cnsp.cn,028 83989766 028 83949966?
成都市青羊区蜀丝坊贸易商行,,028 81677773 028 86939773
成都市光洁环保生物科技有限公司,peixili@163.com,028 85913678 028 85910866
成都久光贸易有限公司,yp@jiaoyitong.com,028 85255140/85255141/85255142 028 85258559
成都宏达新元科技有限公司,ythl3210@126.com,028 85481012 028 85481013
四川东方聚能科技有限公司,xnjcw@xnjcw.com,"028 81703079,88838998,66262839 028 81703079"
成都宸宇涂装技术有限公司?,net@cheminfo.gov.cn,028 85750185 028 85750535
成都市光明新科过滤设备有限公司,sunboy@vip.163.com,028 87520572 028 87539662
四川凌志泵业有限公司,linglin@lzpp.com ,028 87604100/87618816/66566043 028 87618816
成都市伟利过滤设备厂,wlglsb@wlglsb.com ,028 85184125 028 85182274
成都创造力科技有限公司,czlkj01@163.com ,028 66565538
成都华远电器设备有限公司,market@china-consulting.cn,028 86083322 028 85033444?
成都西南焊接设备制造有限责任公司,,?028 87635093 028 87696112?
成都市青羊区万和化工部,wwanhehg@126.com,028 81833078 028 84543441
成都博深高技术材料开发有限公司 ,shipjobs@126.com,028 85435099 028 85435099
成都市明霞科技有限公司?,mingxiahr@163.com,028 81959605
成都花晨月鞋业有限公司,info@cnfashion.net,?028 85373879/85370777 028 85373879
四川银鼎化工有限公司,yinding2008@163.com,028 86818666 028 83531298
成都亚森天然化妆品研究所?,csj9835@vip.163.com,?028 84731118 028 84725788
金堂县赵镇知足堂鞋坊?,,028 83220994
刘克俊(个体经营),,?028 86430272
成都市丹宇通用设备有限公司,cd-dy@sohu.com,?028 84710863 028 66539816
成都市武侯区发条橙子魅力生活服饰店,,?028 89082992
成都市金牛区标王老北京鞋业经营部,, 028 66746536 028 85773085 
四川娇子生物科技有限公司?,sales@sinorgchem.com,028 82666588 028 82666588
成都市银信石业有限公司,service@china-china.cn,?028 87500726/87514666/88003726 028 87508898
成都巨奥玻璃有限公司,inland028@126.com,?028 84479706 028 84479706
成都市武侯区恒晨灯饰经营部,,028 85032864 028 85032864
成都新财高新技术有限公司,scsdzxh@163.com ,028 66134606 028 85161421
四川凯西光电有限责任公司,yp@jiaoyitong.com ,028 66501698 028 66501696
成都禾光实业有限公司?,zhongguoxuwei@yahoo.com ,?028 66859315 028 66859315
成都维克特科技有限公司,lijnet@163.com,028 81925991/83397919 028 83397919
成都小迪日用品有限公司 ,wq_xsl@163.com ,028 81896208
成都市金牛区欧司朗灯饰经营部,sc-osram@126.com,028 83173488 028 83190530
金牛区九澳灯饰经营部,,028 86476436 028 86476436
温江强力实业有限责任公司,xxzx@scjst.gov.cn ,028 82650139 028 82651901?
成都航天明江新材料制造有限公司,20010509553@sina.com,?028 84851317 028 84877902
成都福天禄科技有限责任公司,caochunye@163.com ,028 85455969 028 85459838 812
成都传扬广告有限责任公司 ,webmaster@st-printing.com,028 87799068 028 87510592
成都中横通科技有限公司,,?028 87023515 028 87023515?
金牛区明华顺音响设备经营部?,,?028 89086188 028 66123063
成都市武侯区展畅照明器材经营部,go007@go007.com,?028 66318528 028 85083001?
成都市双江电器设备有限公司,yqdl@263.net,028 87629639
成都圣典节能科技有限公司,7537306@163.com,028 84865418 028 84867126
金牛区和兴商贸部,scwq@jicha.com.cn,028 66261103 028 83223446?
成都华益热缩材料有限公司,zcg@cd-huayi.com,?028 84369578 028 84367498
成都虹波实业股份有限公司,1718@861718.com,028 88432320 028 88432319
金牛区睿达灯具经营部,,?028 87666801 028 87666801
成都鑫晨光学电子仪器有限责任公司,,?028 82997405 028 82997405?
金牛区嘉鑫辉装饰材料经营部,24571189@qq.com,028 88090380 028 87680326
欧洲电子部品(成都)商贸有限公司,whic@weihai.gov.cn,028 84858318 028 84858318
新都区华美达艺灯饰厂,,028 83175686 028 83175686
成都市大发电器城隍庙市场连利电器经营部,,028 89973973 028 66644522?
金牛区佳杰电器经营部?,24571189@qq.com,028 83222412 028 66261215
成都市金牛区华达电器商店,office@herb88.com ,028 66189700 028 66803772?
成都高新区今天硅材料有限公司,YYYSHT@163.COM,028 85586114/66631114 028 8556418
金牛区昊迪微电子商行,smooths@mail.nctu.edu.,028 66104769 028 66104769
成都市金牛区兴祖家电经营部,,?028 83376796 028 83376796
成都四海扬帆科技有限公司,webmaster@hxb56.com,028 87694156 028 87694156
成都市小意思电器有限公司,sanye9932@vip.sina.com ,028 87697436 028 87697436
成都建浩科技有限公司,gaf@xmjlw.com,?028 13808001573
成都豪阳科技有限公司?,xianhr@pub.zhaopin.com.cn,?028 83123088 028 83123088?
成都全新医疗卫生用品有限公司,cdqxchemical@yahoo.com.cn,028 85548933/85595438/85546685 028 85595478
成都兴邦生化厂,ise75y@126.com,028 83703808 028 83712551
成都超人植化开发有限公司,Superman@hi2000.com,028 86273298 028 86277398
成都新西南艺术陶瓷厂,sxrc0351@163.com,400 7798 698 028 83290235
成都天马装饰材料有限公司,ab130139@126.com,028 83573779 028 83571935
成都斯勒曼科技有限公司,wjf-720108@163.com ,028 66705771/66705881 028 87420162
成都市中惠物资有限公司?,,028 87469546
成都信天翁科贸有限公司?,,028 85228339 028 85222695?
成都南光机器有限公司?,liangguihua@rankuum.com,028 84848038 028 84848103
四川莱特新材料科技有限责任公司,service@light-new.com,028 84780332 028 84674801
成都市居比路纺织科技有限公司,66550114@163.com ,"?028 87818168,80256222 028 87818168"
成都南仪电子电气有限责任公司,,028 85754908 028 85754908
四川诚成海量科技有限责任公司?,lingli@sina.com, 028 85374791-803 028 85374792
四川人民出版社,zxsu@mnu.edu.cn ,?028 86250677 028 86259456
成都壹品欧迪家具有限公司,epinod@163.com,028 86725128 028 86727128
成都新友缘科技有限公司,,028 85433165 028 85433165
成都永联金属制品有限公司,changyi@mail.sc.cninfo.net,028 87952446 028 87952446
四川协和林商贸有限公司,bigheadwy@hotmail.com ,028 85448511 028 85448869
成都市灵海气模制造厂,ih@cdlinghai.com ,?028 87630162 028 87630162?
成都市青羊区新巢铜牌美工部?,,028 86648028 028 86647525
成都刚健科技实业有限公司?,,?028 87608201 028 87608121
成都顶好雨具有限公司?,serv@tjkx.com,028 83414132/89096918 028 83220284
四川南光泵业有限公司 ,sc-ng@163.com,?028 84412926 028 84414428?
成都振冲机电商行?,shemymeQ@163.com,028 66613212 028 66751959?
四川省汇利达国际贸易有限公司?,qzy63@yahoo.com.cn,028 87023958 028 87023563
成都酷睿科技有限公司?,qianyan.biz@hotmail.com,?028 66070411?
成都奇尚乐器有限公司,,?028 85452717 028 85452717
成都广天农业高科技有限公司,xdnyj@xindu.gov.cn,028 83028903 028 83028903?
荷花池中药材专业批发市场恒昌隆中药行,,028 83150331 028 83150331?
景东银生农副产品收购部,,028 87620278 028 87620278?
成都森鹏木业有限责任公司?,senfawood@sina.com,028 83965026 028 83965026
成都怡忠科技有限公司,,?028 6818000 028 68186000-9?
金牛区通发通讯器材经营部,,028 83226747 028 66104592?
成都龙翔锦卡信息技术有限公司?,service@mostgroup.com ,028 85287833;66104011 028 85482596
四川汇源进出口有限公司?,webmaster@cnstock.com ,?028 86632251 028 86631330
成都其川实业有限公司,liutao@cd-qc.com,?028 85224141 028 85224141
成都鸿合电器制造有限公司,cdhhdq@alibaba.com.cn,028 87606672 028 87606672
金牛区天仪仪表商贸部?,hqzjcom@126.com ,028 86475853 028 86475853?
成都华成威电器有限公司?,hcw028@sina.com,?028 87656305/87656306 028 87656306
成都菁华三才科技有限责任公司?,threecaimaterials@126.com,028 85754178-638 028 85737355
成都市营江散热设备厂,Master@sccdyj.com ,028 85026885 028 85022881
成都博大激光技术有限责任公司,hr@kwans.com.cn,028 68155169 028 68155968
金牛区吉星灯饰经营部?,webmaster@zgdzsww.cn,028 83190628 028 83190628
成都市成华区蓉阆制刷厂,,028 66678897 028 8577535
成都展兴塑料包装有限公司?,,028 85364579 028 85364979?
成都汀成数控技术有限责任公司 ,info@lkzhenxing.com,?028 86433289 028 83173628?
成都市昂一物资有限公司,,028 83140886 028 66645029
成都市聚天包装材料有限责任公司?,,?028 84420481 028 84422385?
成都市金牛区贤斌包装机械经营部,,028 66705850 028 83421360
成都永嘉彩印包装有限公司?,YONG_JIA@126.com,028 84819068 028 85219936
成都市兴宏宇塑料制品厂?,lvjuntx@qszt.net,?028 83646212 028 83646461
成都晶华江泰橡塑有限责任公司?,,?028 84805533 028 84805533
成都欧美佳科技发展有限公司,serv@tjkx.com,028 66127991 028 84858815
成都金尚风包装设计有限责任公司,,?028 61863251 028 61863251
成都市金鼓药用包装有限公司,bxhzh@163.com ,086 028 88742588 086 028 88748588
成都八九七二科技发展有限公司,whwendu@126.com,028 86066066 028 86066866
大邑万通印务有限责任公司,pten@pten.cn ,028 86343222 028 86343648
成都市昂鹰科技有限责任公司,angying168@163.com ,028 85131629 028 85131629?
四川恒风鼓风机有限公司,service@sc-hf.com ,?028 84711395 028 84714068?
都江堰市开门红钢质门厂,,028 89729088 028 87225588
金牛区冀华瑞达筛网销售部,,?028 66574886/66427
成华区万泉建材经营部?,info@sinodoors.com,028 88034665 028 84422630
四川鼎林信息技术有限公司,,028 65657552 028 85593421
成都市新都区黄金龙钢制品厂,181888@gmail.com,?028 83029318 028 83028319?
成都新兴欣电力物资有限公司,webmaster@wujinku.com,?028 87691377 028 87691378
成都风之行科技发展有限公司,billpan2@263.net,?028 85088461-806 028 85088461-805
成都市武侯区兴发门窗经营部,181888@gmail.com ,028 66697930 028 85799494
成都凌泰科技有限公司?,zhaoguangfu01@126.com ,?028 82911375 028 82911395?
成都德撒电子系统有限公司,,028 85087674?
成都市西臣影音有限公司,yexiang080@163.com ,028 65816372 028 65816372?
成都富象门业有限公司,admin@cdfxmy.com,?028 83078830 028 83078622
四川保尔防护装备厂,,028 87687788 0816 2316008/2319008
成都万象门窗装饰有限公司,youjion@tom.com ,?028 83078477 028 83079909?
青羊区华谊箱柜厂?,chenduzhourong@hotmail.com ,028 66799728 028 87079389
成都奇偶光电科技有限公司,friendzgy@163.com ,?028 84332796 028 84334916
成都惠大专利技术研究所有限公司?,,028 87071866 028 82948770
成都捷晟制造有限责任公司,jiesheng.good@163.com ,028 87692052 028 87692052
四川省兴宏电讯有限责任公司,scxhcom@126.com ,028 66823598 028 85405905
成都时代今朝科技有限公司?,,?028 87591042 028 87591043
四川迈捷科技有限责任公司?,chinajzw@chinajzw.cn,?028 86080989 028 86080989?
成都飞辉虹科技有限责任公司,fhhzhaopin@163.com,?028 85265671 028 85265671?
成都立鑫新技术科技有限公司?,cdlixin@163.com ,?028 85369012-803 028 85369213
成都市盛雷科技有限公司,fubao@f139.com,028 87623530/80772913 028 87623530?
成都富坤门窗厂?,,028 83079051 086 028 83079051
成都安力特边坡特种防护工程有限公司,cta@cta.org.cn,?028 8751090
成都市宝高乳胶制品有限公司,phuimin@163.com ,?0755 28677191/028-89911428 0755 28677193
成都天丽户外用品有限公司,tianlizp@163.com ,028 82633675 028 82633676?
成都石人消防器材装备有限责任公司?,,028 82762140 028 82764229
成都新津汤姆叔叔鞋艺有限公司?,,?028 86533310 028 86784273?
成都金柚实业有限公司?,cqy226@sina.com ,?028 85730128 028 68140146
成都市岷森商贸有限公司,ms028@126.com ,028 86937856 028 86937856?
成都金华胜纸品有限公司?,gudianop@163.com,028 81700085 028 81705723
成都吉安安顺贸易有限责任公司,bbcyyxgs@126.com ,?028 83186848?
四川兴睿龙实业有限公司,Services@jobs.cn,?028 13548024860
成都兴盛维雅纸业有限公司,paper-china@163.com,028 85845032 028 85845032
成都亿福达纸塑品有限公司,,?028 87480717 028 87480717
成都市武侯区美华纸塑包装厂,,028 66961399 028 87441788
成都市金牛区耘丰斋文化用品经营部,,028 51546215 028 78565122
成都市金牛区洪成文具经营部,,028 83318181 028 83318181?
金牛区新德堡印刷机械商行,,028 81910865 028 83171537
成都大光热喷涂材料有限公司,office@cddg.com.cn ,?028 84835827/84837291 886 028 84837290
成都市强芯机电设备有限公司,lantimes@163.com,028 87609919 028 87609719
成都市华艺纸制品厂,hoaye@126.com,?028 84637362 028 84637361
四川益融商贸有限公司?,eron@eron.com.cn ,"?0086 028 68107492,68107780,68803720 0086 028 68107620"
金牛区勇恒印刷耗材经营部,,028 81205088?
广州精系化工股份有限公司四川总代理,,028-8952-6062 028-84477551
青羊区文家乡芳菲纸制品厂?,,028 87074876 028 87074876?
成都银林纸业有限公司,Service@ncly.net ,028-81234567 028-87775082?
盛世龙腾-高岭土原矿供应项目部?,,028-15882236844 028-867011111
成都德利商贸有限公司?,d.dlmy@163.com,028 80163788
成都市永升酒店用品有限公司,24571189@qq.com,028-85157757 028-85157757
成都市佳合众成办公设备公司,csanjin_01@yahoo.com.cn,028 68376873 028 85212774?
濮阳龙丰纸业有限公司成都分公司,,028 87776816 028 87778216
成都市彩石彩绘工作室,,028 89960447 028 89960447?
东方光盘制造有限公司（销售部,tongfangjifu@vip.163.com,028-85882679 028-85881827
黎彩纸业?,,028-13881876766 028-13881876766
广州方捷办公装订设备有限公司?,gzfzoa@126.com ,028-66147072 028-66147072
成都黄金尚韵广告有限公司,wanghuici1314@163.com,028 80690598 
成都丰彩(益彩)烫画印务有限公司,l-m168@163.com,?028 81379881 028 83919793
成都蓉生装饰有限公司,d_han@126.com ,028-86249900
成都市武候区泰码自动识别器经营部?,,028 85022496 028 85022496
成都高堡卓越彩色包装有限公司?,,028 86082322//83325819 028 83351526
成都纤姿纸业有限公司,,028-87950439 028-87950439?
四川省智信家具制造有限公司,honlandsx@sina.com ,028 85026288 028 85026288?
成都德贝实业有限公司?,web@chinachugui.com ,028 87988577/87980370/87988188 028 87988378?
成都市新西北光电有限公司,newhgzqb@163.com,028 839300 028 83930328?
中国科学院光电技术研究所光学元件厂,service_2008@chinamet.com ,028 85100385 028 85100151
成都高域办公自动化设备有限公司?,,028-89959060 028-85440334
成都东方宏家私有限公司?,fudong82@126.com,028 85011212 028 85015268
成都市华龙家具装饰有限公司,taobao168_vip@126.com ,028 83082836
成都优邦文具有限公司?,wsl2k@yahoo.com.cn,028 86081989 028 66143721
成都市金牛区建明机电经营部,yangsuda@163.com,?028 89515196 028 87691671?
成都万科实业有限公司,cdwanke2002@yahoo.com.cn,"028 86123061,86127533,86150535 028 86153563"
成都福隆石英电热电器厂,cnsaw@cnsaw.com,028 87697288 028 87697988
成都市科恒达仪器设备有限责任公司?,cyq8010@126.com ,?028 68279588 028 84559116?
成都经纬办公家具有限公司?,,028 66137138 028 85012948
成都外南太平园家俱城?,52xnm@163.com ,
双流新太阳家具厂,,028 85790586 028 85790587
成都吉泰兴和科技有限公司,yinsonglin0805@163.com,?028 66572770 028 83231812?
成都市万全工具贸易有限公司,chinajzw@chinajzw.cn ,028 87636118 028 87633508
成都市武侯区机投五金汽配厂?,,028 87482112 028 87480338
成都电动工具有限责任公司,xltkj@scidc.net,028 87840638 028 87840607
成都万顺达模具零件有限公司,wsdmj@126.com ,?028 84847991 028 84847768?
成都立固制钉有限公司?,,028 83686726/83686156 028 83686422
成都准石贸易有限公司 ,,?028 81703462 028 81703462
成都科海自动化设备有限公司,master@jiaomai.com ,028 67235938/67235897 028 82631106?
成都紫英电子工具厂,whwendu@126.com,028 85651264 028 85651264
成都鑫荣源机电有限公司?,webmaster@westsw.net ,028 83618831 028 83305122
成都鑫利达贸易有限公司,cdtgsteel@163.com ,028 83153933/68588589 028 83151933?
成都市金牛区大峰机电商行,,028 66613119 028 68116252
成都亚西工具厂,sales@yxgj.com ,028 83356998 028 83397343
成都市百诺金属制品有限公司,info@chinaiin.com,0086 28 89260629 0086 28 83617670?
新都区石板滩镇洁康洁具厂,,028 83551105 028 83551105
四川恒通伟业管道有限公司,webmaster@china-men.cn,?028 87690698 028 87690698
成都新志实业有限公司,cdlqgsl@126.com ,028 88432818 028 88432548?
成华区易美家盛厨卫经营部?,,028 66289666 028 83550718?
成都归来机电设备有限公司,13688153946@vip.sina.com ,"028 89979216,87694954 028 87691796"
成都泛洋焊割设备有限公司,fyweld@126.com.com,028 84205558 028 84209818
成华区金立窗饰制品经营部,webmaster@jc315.net,028 83515238 028 83515238
青羊区苏坡乡美凯龙货架厂,huojia699@126.com,028 89847888 028 85775066
成都奇影科技有限责任公司,,028 83290057 028 83290057
成都市金牛区文迪电子经营部,,028 66104769/66152749 028 66804680
成都博年永盛广告展示有限公司?,,?028 87652229 028 87652229
成都崎泰触控科技有限公司?,sarah@skytouch.com.cn ,028 85145901 028 85145902
成都太和电子科技有限公司,houqm@hc360.com,028 85256769 028 85256769
成都盛伯爵营销管理有限公司,,028 86809595 028 87063306?
成都市金牛区腾飞装饰材料店,24571189@qq.com ,?028 83181131 028 83412035?
成都四凯海通达科技有限公司,,?028 85440312 028 85441323?
成都心心相约珠宝有限公司?,tianyeyang@126.com,028 86672155 028 86678115?
成华区宇翔电器设备厂?,hyzled@yahoo.com.cn,028 89905321 028 83500084
成都程鹏布艺厂?,,028 81898386 028 87501078?
成都网大科技有限公司?,jp@cdnat.com ,028 87777784 028 87714577 826
成都普纳多商贸有限责任公司?,webmaster@sczfcg.com ,028 85254951 028 85254952
四川卫盾电子科技有限公司?,webmaster@jc315.net,028 83226758 028 83226758
四川国广礼品工贸有限公司?,gglp.cn@163.com,816 400 8888-890 816 028 87701547?
成都丽虹实业有限公司,zsq@lihongshiye.com ,028 87492716 028 87492726?
重庆迪赛展示设计制作有限公司,,028 85250362
成都新鑫凯歌金属制品有限责任公司,124537118@qq.com ,028 89885518 028 81715319
成都市金牛区玉满萃珠宝经营部?,,028 86675361 028 86675361
华联机械集团有限公司西南分公司?,lyh@chinaccm.com,028 68052753 028 68037517
锦江区永红塑料加工坊?,zhangge630916@yahoo.com.cn,028 81668952?
四川美丰化工股份有限公司射洪分公司,mfsfs@163.com,0825 6685566 0825 6686181
四川兴熙北彩印有限公司?,thcy2008@126.com,028 83182222 028 83401111
成都帝泰科技有限公司 ,yisoubar@163.com,"?028 85493687,85493082,85454442 028 85493089"
成都泽川科技有限公司?,lxjiao2008@yaho.com.cn ,?028 86180899 028 87547001
成都忠鸿科技有限公司?,npwjw@126.com ,?028 87858625 028 87858625
崇州市怀远太粤藤器厂,,028 88887397
成都市武侯区亿车集丽阳汽车装饰店?,,?028 82840511 028 82840811?
成都亿时代礼品印务设计有限公司,yz20@163.com,028 66700868 028 83334898?
成都市金牛区信霖日用品经营部?,,?028 83396056 028 83318868?
成都东冠世珍标识制作工程有限公司,,?028 85739517 028 85739515?
成都方正包装机械有限公司?,66550114@163.com,?028 87641983 028 87641983
四川瑞特服装有限公司,webmaster@humen.com ,028 83592445 028 83592445?
 新都区荣锦塑料包装厂  ,,028 66553804 028 83028289?
成都苍龙包装实业有限公司,,028 83188525 028 83188525?
四川唯宇包装有限责任公司?,scwybz@yahoo.cn ,028 66652858 028 66652883 
青羊区恩兰塑料加工坊,,028 66572843 028 83149185?
成都市申发印刷器材经营部?,,028 66931176 028 83243249
秦锡勇(个体经营),,028 84446067 028 84454012
成都博元印务设计有限公司,by-printing@163.com,028 13198556388 028 85084906?
成都迪奥智能卡开发制作有限公司,,
成都迪奥智能卡开发制作有限公司,shenzhen@chinairn.com,028-85566099 028-85566099
四川科普科技有限责任公司,cnfair@163.com,?028 66885196 028 66885196
牟文周(个体经营）,,028-83188012 0731-4428000
成都北纬三十广告设计制作有限公司?,,028-66719777 028-87536480
成都国涛化工有限公司,webmaster@hqsq028.com,?028 66538966 028 66538966?
四川维奥制药有限公司,info@cnydw.cn,028 85336368-8319 028 85336398
四川美丽健日化有限公司,,028 85310587 028 85738719?
成都狮瑞生物科技有限公司?,llsirui@yahoo.com.cn,028 85733771 028 85733771
四川省国茂科技有限责任公司?,88@955889.com,028 85320050/85320506/85311667 028 85318990
成都新桂工贸有限公司,advise@tz888.cn ,028 66157257 028 66157256?
成都市顺河化工厂,mlszmvkdf@126.com ,028 88790719 028 02888790917?
德阳市旌阳区永高塑料模具厂,yonggaosy@126.com,?028 83151318 028 83137876?
成都飞亚化工有限公司?,net@cheminfo.gov.cn ,028 84130535/84124396 028 84130525/84124296 
成都高新区梦中鞋鞋店,shandonggq@yahoo.com.cn,028 80881953 028 87851109
成都米迪亚商贸有限公司,,028 84608716 028 84608716
成都谷雨服饰有限公司,249912286@qq.com,028 66921955/66657585
成都嘉捷运输服务有限责任公司,wushiminde@sohu.com ,028 85038899 028 85038899
成都市武侯区华锋砂磨材料经营部,TOBY-LI@TOM.COM,028 85046183 028 85027996
成都市志兴机电设备有限公司,fu1122@yeah.net,028 84124544 028 84124544
成都佳运才子服装有限公司?,hongbo@mail.cnhongbo.net,028 86425686 028 86425468
成都市金牛区耘丰斋文化用品经营部(销售部),,028 83211013 028 83211013
青白江区好滋味食品加工厂,root@xsp2.com,028 83258272 028 83258272
段超(个体经营),,028 83375178 028 83381989
四川现代建设机械有限责任公司,cabr_mxd@sina.com,?028 87512116 028 87510683
成都市世宁科技有限公司,lip@autoid-china.com.cn, 028 87775480 028 87768750
成都大西南铁路储运有限公司?,,028 84200025 028 84200025?
四川蓝迪建筑配套设施工程有限公司,,028 84085117 028 84085117?
成都市尚品展览展示有限公司,,028 85130974 028 85130964
成都铭航物流有限责任公司,,028 83662778 028 83662778
成都印象建筑装饰工程有限责任公司,webmaster@hrm.cn,028 85097018
成都易速物流有限公司,efast56@efast56.com,028 66124259 028 66124259?
成都兰翔科技有限公司,ygl1981@gmail.com,028 86665779 028 86723699-802
成都卓尔酒类链式包装有限公司?,serv@tjkx.com,028 85057125 028 85055030
成都格瑞特进出口贸易有限责任公司,cdgreat@yahoo.cn,028 84808282 028 84808291
成都亿天电器设备有限公司,chinawutong@126.com,028 89653899 028 68825288
成都高境商务服务有限公司,service@sohu.net,028 66757588/66562288 028 85555181
成都市三人行物流有限公司,zhoujin152@163.com ,028 66009919 028 83533396
金牛区福气机电经营部,cc.seven@163.com,028 66627758 28 66664923?
成都市武侯区创健科技经营部?,info@ewons.com,?028 89982456
成都市佳创包装设计有限公司,xy315cppc@163.com,028 86385604 028 86385604
成都舒足堂科技有限公司,cdszt@2007.com ,028 65667125/65667155 028 86432759?
四川鑫顺生物科技有限公司,serv@tjkx.com ,028 13980511793
邯郸市长惠食品有限公司,Frui@chbj.net ,?028 85569580
成都天杰有机农业发展有限公司,,?028 66561840 028 85131692
成都市奇格粮食机械制造有限公司?,,028 84206007 028 84206007?
成都药源生物科技有限公司,cyy@cyy114.com,?028 85555502 028 85561200?
成都金堂县山野菌业食品有限公司?,ptvv@163.com,028 84942164 028 84942164
成都西汇科技有限责任公司?,food800@126.com,028 85133976
成都市精诚生化制品有限公司,CN13801018949@hotmail.com ,?028 83932109 028 83932109
四川省农副产品加工技术开发公司成都分公司,postnocn@163.com,028 86752690 028 86781683?
成都双流应天生化厂,yt@cdyingtian.com,028 84330342 028 85784558
四川高福记食品有限公司,serv@tjkx.com,?028 85160413 028 85141748?
四川中弘天然药物有限责任公司,kefu@chinafmn.com,028 85502309/85502639 028 85501178
四川省砚山中药饮片有限公司,cnyszy@gmail.com ,028 66634668 028 83148453
金牛区威君电子产品经营部,,?028 80635372 028 66126771
隆盛电器,zp@lhrc.cn,028 86788679 028 86788679
成都前锋电热器具有限责任公司,gangfu@126.com ,028 87988563 028 87988845
四川奥美厨房设备有限公司,aomei@scaomei.com ,028 87506752 028 87517849
金牛区护康家用电器经营部?,,?028 66564200 028 68891200?
成都市帕信科技有限责任公司,,028 81562383 028 81562383
金牛区富华酒店用品经营部,24571189@qq.com ,?028 88015834 028 83112959
成都蓉东机械汽配有限公司,,?028 85910753 028 85910753
成都诺优环保科技有限公司,66550114@163.com,028 86865088 028 87544998
成都大发电器市场美声麦克风,e-night@oh.yeah.yeah.com,?028 83227364 028 66803716
金牛区华润厨具厂,24571189@qq.com,028 83420500 028 83420500
成都伊瑞净化设备有限公司,jazzbeetle@yahoo.cn ,028 87318990 028 87316620
金牛区怡诚电器经营部,,?028 83223018 028 66803691?
成都市武侯区华信电器网络科技服务部,wanguanrs@yahoo.com ,?028 87012483 028 87038569?
成都恒宝贸易有限公司?,shiteng588@163.com,028 85155192 028 85155192
